id;idmaterial;fecha;hora;idUsuario;observaciones
;45;1997-09-30;21:43:33;;
;45;1998-01-13;11:29:01;;
;45;2003-07-21;12:52:22;;
;46;1997-11-26;18:40:16;;
;46;1998-01-13;10:51:26;;
;46;1998-01-15;19:42:58;;
;46;2000-11-21;10:23:52;;
;46;2003-07-08;12:01:54;;
;46;2003-07-09;10:10:39;;
;46;2003-07-18;13:27:06;;
;47;1997-10-01;19:41:02;;
;47;2000-01-25;18:28:58;;
;47;2003-07-11;10:40:12;;
;48;1997-10-01;19:42:55;;
;48;2000-01-25;18:29:15;;
;48;2003-07-11;10:39:15;;
;49;1997-11-26;18:35:49;;
;49;1998-01-15;19:47:51;;
;49;1998-07-06;18:54:34;;
;49;2000-12-14;8:46:21;;
;49;2003-07-18;12:58:45;;
;50;1997-11-26;18:54:54;;
;50;1998-01-13;10:57:54;;
;50;1998-01-15;19:43:40;;
;50;2000-12-14;8:49:21;;
;50;2003-07-18;12:58:27;;
;51;1997-11-26;18:49:12;;
;51;1998-01-13;11:02:28;;
;51;1998-01-15;19:44:09;;
;51;2000-12-14;8:41:45;;
;51;2003-07-18;12:48:27;;
;52;1998-01-15;19:44:19;;
;52;1998-01-15;19:44:38;;
;52;2000-12-14;8:42:28;;
;52;2003-07-18;12:47:48;;
;53;2000-12-14;8:45:05;;
;53;2003-07-18;12:49:13;;
;54;1997-09-30;21:23:24;;
;54;1997-09-30;21:29:50;;
;54;2003-07-21;13:06:44;;
;55;1997-09-30;21:29:00;;
;55;2003-07-21;13:07:49;;
;56;1997-12-03;11:15:41;;
;56;2001-07-24;9:32:17;;
;56;2002-03-14;19:28:42;;
;56;2006-11-20;17:35:01;;
;56;2006-11-20;17:35:40;;
;57;2001-07-24;12:16:15;;
;57;2001-07-24;12:17:23;;
;58;1998-01-27;21:22:28;;
;58;1998-01-28;11:27:44;;
;58;1998-01-30;9:31:09;;
;58;2001-07-24;11:47:44;;
;58;2004-05-11;17:00:17;;
;58;2012-07-25;12:11:33;;
;59;1998-01-28;12:06:17;;
;59;2001-07-24;11:55:26;;
;59;2004-05-11;16:59:39;;
;59;2012-07-25;12:11:51;;
;60;2004-05-11;16:51:42;;
;60;2004-05-11;16:53:52;;
;60;2004-05-11;16:56:07;;
;60;2012-07-25;12:13:31;;
;61;1998-01-27;9:06:11;;
;61;1998-01-28;11:29:06;;
;61;1998-01-30;9:29:47;;
;61;2001-07-24;11:55:39;;
;61;2004-05-11;16:58:43;;
;61;2012-07-25;12:14:38;;
;62;1998-01-27;21:23:46;;
;62;1998-01-28;11:38:44;;
;62;2001-07-24;11:55:50;;
;62;2001-07-24;11:56:02;;
;62;2004-05-11;16:59:10;;
;63;1998-01-28;12:04:59;;
;63;1998-01-30;9:46:07;;
;63;2001-07-24;11:58:17;;
;63;2004-05-11;17:02:26;;
;64;2001-07-24;12:14:52;;
;64;2004-05-11;17:06:31;;
;65;1997-09-30;11:32:34;;
;65;2001-10-17;9:06:07;;
;66;1997-11-19;8:51:32;;
;66;1997-11-19;8:55:41;;
;67;1997-11-18;21:31:42;;
;67;1997-11-19;8:55:40;;
;68;1997-11-18;20:07:48;;
;68;1997-11-18;21:03:47;;
;68;1997-11-19;8:55:38;;
;69;1997-11-18;20:05:38;;
;69;1997-11-18;21:04:47;;
;69;1997-11-19;8:55:38;;
;70;1997-11-18;21:20:47;;
;70;1997-11-19;8:55:39;;
;71;1997-11-18;21:18:33;;
;71;1997-11-19;8:55:39;;
;72;1997-11-18;20:03:06;;
;72;1997-11-18;20:04:20;;
;72;1997-11-18;21:05:47;;
;72;1997-11-19;8:55:38;;
;73;1997-09-30;11:38:53;;
;73;2001-10-17;9:06:31;;
;74;1997-11-18;21:22:18;;
;74;1997-11-19;8:55:39;;
;75;1997-11-18;21:32:50;;
;75;1997-11-19;8:55:40;;
;76;1997-11-18;21:23:46;;
;76;1997-11-19;8:55:39;;
;77;1997-09-30;11:40:46;;
;77;2001-10-17;9:06:52;;
;78;1997-09-30;11:39:49;;
;78;2001-10-17;9:07:14;;
;79;1997-11-18;21:25:21;;
;79;1997-11-19;8:55:39;;
;80;1997-11-18;21:28:59;;
;80;1997-11-19;8:55:40;;
;81;1997-11-18;21:12:25;;
;81;1997-11-19;8:55:39;;
;82;1997-11-18;21:27:44;;
;82;1997-11-19;8:55:39;;
;83;1997-11-18;21:26:14;;
;83;1997-11-19;8:55:39;;
;84;1997-11-18;21:06:44;;
;84;1997-11-19;8:55:38;;
;85;1997-11-18;21:11:34;;
;85;1997-11-19;8:55:39;;
;86;1997-11-18;21:08:32;;
;86;1997-11-19;8:55:38;;
;87;1997-11-05;9:40:37;;
;87;1997-11-05;18:53:24;;
;88;1997-11-05;9:39:31;;
;88;1997-11-05;18:53:24;;
;89;1997-09-30;20:57:39;;
;89;1998-01-13;11:21:54;;
;90;1997-11-05;9:12:17;;
;91;1997-09-30;21:01:36;;
;91;1998-01-13;11:21:12;;
;92;1997-09-30;21:02:58;;
;92;1997-09-30;21:06:10;;
;92;1998-01-13;11:20:36;;
;93;1997-09-30;21:03:45;;
;93;1997-09-30;21:06:22;;
;93;1998-01-13;11:20:36;;
;94;1997-09-30;21:04:03;;
;94;1997-09-30;21:07:13;;
;94;1998-01-13;11:20:36;;
;95;1997-09-30;21:04:33;;
;95;1997-09-30;21:06:37;;
;95;1998-01-13;11:20:37;;
;96;1997-09-30;21:05:06;;
;96;1997-09-30;21:07:24;;
;96;1998-01-13;11:20:37;;
;98;1997-09-30;21:03:24;;
;98;1997-09-30;21:07:00;;
;98;1998-01-13;11:20:36;;
;99;1998-01-15;11:21:11;;
;100;1997-11-26;18:14:26;;
;100;1998-01-28;12:20:12;;
;100;2001-07-24;12:33:40;;
;100;2003-07-23;12:39:02;;
;101;2001-05-21;10:45:38;;
;101;2001-07-06;10:45:38;;
;101;2011-09-02;12:25:50;;
;101;2017-02-10;10:46:30;;
;102;2001-05-21;10:47:16;;
;102;2001-07-06;10:45:52;;
;102;2011-09-02;12:26:16;;
;103;2001-05-21;10:48:07;;
;103;2001-07-06;10:46:06;;
;103;2011-09-02;12:26:34;;
;104;2001-05-21;10:50:06;;
;104;2001-07-06;10:46:20;;
;104;2011-09-02;12:26:54;;
;105;2001-05-21;10:51:16;;
;105;2001-07-06;10:46:34;;
;105;2011-09-02;12:27:16;;
;106;2001-05-17;19:46:49;;
;106;2001-05-18;10:24:04;;
;107;2001-05-17;19:47:41;;
;107;2001-05-18;10:24:16;;
;108;2001-05-17;19:48:21;;
;108;2001-05-18;10:24:27;;
;109;2001-05-18;9:29:38;;
;109;2001-05-18;10:24:45;;
;110;2000-03-03;19:36:14;;
;110;2000-03-03;19:44:16;;
;111;2003-09-03;10:36:49;;
;111;2003-09-03;10:38:37;;
;112;1997-09-30;22:42:39;;
;112;2000-12-07;13:23:54;;
;112;2003-07-24;8:37:11;;
;113;1997-09-30;22:43:51;;
;113;2000-12-07;13:22:26;;
;114;2009-11-24;9:33:44;;
;114;2009-11-24;10:40:21;;
;114;2011-02-18;10:31:19;;
;114;2012-07-26;8:43:20;;
;114;2012-07-26;8:45:45;;
;114;2014-05-29;8:56:57;;
;115;2003-10-07;17:14:07;;
;115;2003-10-07;17:18:09;;
;115;2003-10-21;12:49:14;;
;115;2003-10-21;13:00:47;;
;115;2003-10-21;13:01:02;;
;115;2003-10-21;18:40:57;;
;115;2004-04-01;12:23:11;;
;116;2001-07-24;12:15:29;;
;116;2001-07-24;12:16:50;;
;116;2004-07-08;12:18:38;;
;116;2014-04-08;10:16:47;;
;116;2014-04-08;10:17:04;;
;116;2014-05-14;10:50:08;;
;117;1997-11-05;10:39:34;;
;117;2003-07-23;13:38:47;;
;117;2003-07-24;8:32:27;;
;118;1997-09-30;21:36:35;;
;119;1998-01-13;12:31:42;;
;120;1997-09-30;21:13:52;;
;121;1998-01-13;12:54:16;;
;121;1998-01-13;12:54:56;;
;122;1997-09-30;22:38:23;;
;122;1997-10-21;19:33:54;;
;122;2001-07-23;12:03:22;;
;122;2003-07-23;12:41:00;;
;123;1997-09-30;21:24:20;;
;124;1998-01-13;20:32:58;;
;125;1997-10-02;9:15:31;;
;125;1997-10-02;9:57:26;;
;125;2001-07-30;12:38:57;;
;126;2001-10-16;19:33:36;;
;126;2002-02-19;10:00:41;;
;126;2002-02-19;10:01:53;;
;126;2002-03-20;19:12:35;;
;127;1997-11-19;11:44:28;;
;127;1997-11-19;18:02:39;;
;127;2001-10-16;19:16:56;;
;127;2002-02-19;10:01:29;;
;127;2002-03-20;19:13:14;;
;128;2001-10-16;19:18:51;;
;128;2002-02-19;10:02:28;;
;128;2002-03-20;19:13:25;;
;129;2001-10-16;19:32:35;;
;129;2002-02-19;10:13:40;;
;129;2002-03-20;19:13:37;;
;130;2001-10-16;19:34:41;;
;130;2002-02-19;10:14:07;;
;130;2002-03-20;19:13:47;;
;131;1997-09-30;10:04:06;;
;131;2001-12-07;11:15:06;;
;131;2001-12-07;11:23:35;;
;131;2012-07-25;13:22:37;;
;132;2001-10-16;19:42:03;;
;132;2001-10-16;19:43:27;;
;132;2001-10-17;8:32:17;;
;132;2001-10-17;9:15:12;;
;132;2012-07-25;12:56:46;;
;132;2014-03-31;13:42:06;;
;133;2014-03-31;13:47:01;;
;133;2014-03-31;13:47:15;;
;134;1997-11-19;12:19:12;;
;134;1997-11-19;18:02:39;;
;134;2001-10-16;19:37:11;;
;134;2014-03-28;10:37:56;;
;134;2014-03-28;10:39:28;;
;134;2014-03-28;10:39:46;;
;134;2014-03-31;9:23:58;;
;135;1997-11-19;11:59:55;;
;135;1997-11-19;18:02:39;;
;135;2012-07-25;12:57:36;;
;135;2014-03-31;12:18:46;;
;135;2014-03-31;12:40:24;;
;135;2014-03-31;12:46:13;;
;136;1997-11-19;16:30:09;;
;136;1997-11-19;16:41:21;;
;136;1997-11-19;18:02:42;;
;136;2012-07-25;12:26:37;;
;136;2014-03-31;12:22:38;;
;136;2014-03-31;12:46:00;;
;137;1997-11-19;16:44:41;;
;137;1997-11-19;18:02:42;;
;137;2012-07-25;12:27:22;;
;137;2014-03-31;12:25:12;;
;137;2014-03-31;12:28:16;;
;137;2014-03-31;12:45:40;;
;138;1997-10-01;13:24:44;;
